text/plain .txt
text/html .html
text/css .css
text/javascript .js
application/json .json
application/xml .xml
application/pdf .pdf
application/zip .zip
application/x-gzip .gz
application/x-tar .tar
application/octet-stream .bin
application/javascript .js
image/jpeg .jpg
image/png .png
image/gif .gif
image/bmp .bmp
image/webp .webp
image/svg+xml .svg
audio/mpeg .mp3
audio/wav .wav
audio/ogg .ogg
audio/aac .aac
audio/flac .flac
audio/x-wavpack .wv
audio/amr .amr
video/mp4 .mp4
video/webm .webm
video/quicktime .mov
video/x-msvideo .avi
video/x-flv .flv
application/msword .doc
application/vnd.openxmlformats-officedocument.wordprocessingml.document .docx
application/vnd.ms-excel .xls
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet .xlsx
application/vnd.ms-powerpoint .ppt
application/vnd.openxmlformats-officedocument.presentationml.presentation .pptx
text/x-python .py
application/x-httpd-php .php
